Species,above.median_total,ED.med,EDGE.med,TBL.med,TBL%,RL.cat
EUR4&Erica_maderensis,100,10.5439,9.8898,10.0860,95.7%,CR
EUR1&Erica_spiculifolia,100,24.0947,5.2325,23.8520,99.0%,
EUR2&Erica_sicula_ssp._bocquetii,100,21.3982,5.1615,17.1120,80.0%,
EUR5&Erica_australis,100,17.6798,4.8616,17.6798,100.0%,
EUR2&Erica_sicula_ssp._sicula,100,21.7980,4.4735,17.1120,78.5%,
EUR3&Erica_umbellata,100,15.8209,3.4070,15.4362,97.6%,
EUR1&Erica_carnea,100,11.7892,2.7542,9.8654,83.7%,
EUR1&Erica_ciliaris,100,14.7178,2.6840,14.6815,99.8%,
EUR1&Erica_erigena,100,10.8225,2.6388,9.8462,91.0%,
EUR1&Erica_terminalis,100,9.9058,2.5128,8.6242,87.1%,
EUR1&Erica_multiflora,100,8.1951,2.1022,7.6223,93.0%,
EUR1&Erica_tetralix,100,9.9433,1.7605,9.9058,99.6%,
EUR1&Erica_numidica,100,6.1181,1.3575,4.6816,76.5%,
TEA&Erica_hillburttii,99,1.4121,1.2389,1.1702,82.9%,CR
EUR4&Erica_cinerea,100,17.4671,1.0176,10.0860,57.7%,LC
EUR1&Erica_manipuliflora,100,3.9974,0.9240,3.9458,98.7%,
KIN&Erica_kingaensis_ssp._bequaertii,97,2.7247,0.7081,1.8967,69.6%,
EUR1&Erica_andevalensis,100,5.2413,0.6479,4.8961,93.4%,NT
TEA&Erica_caffrorum_var._luxurians,98,2.4957,0.6172,1.8676,74.8%,
EUR1&Erica_platycodon_ssp._platycodon,98,2.3410,0.6104,1.5741,67.2%,
TRIM&Erica_trimera_ssp._meruensis,99,2.3811,0.6100,1.9316,81.1%,
KIN&Erica_kingaensis_ssp._kingaensis,95,2.7433,0.6032,2.0653,75.3%,
TRIM&Erica_trimera_ssp._keniensis,100,2.6154,0.5944,2.2616,86.5%,
KIN&Erica_kingaensis_ssp._rugegensis,94,2.6577,0.5940,2.1101,79.4%,
TRIM&Erica_trimera_ssp._kilimanjarica,99,2.3724,0.5911,1.6678,70.3%,
TRIM&Erica_trimera_ssp._abyssinica,98,2.4190,0.5707,1.7166,71.0%,
TRIM&Erica_trimera_ssp._trimera,100,2.3415,0.5696,2.0926,89.4%,
EUR1&Erica_scoparia,100,2.0276,0.5475,1.6054,79.2%,
EUR1&Erica_platycodon_ssp._maderincola,98,2.5841,0.5337,1.9248,74.5%,
TEA&Erica_drakensbergensis,96,1.8822,0.5262,1.3220,70.2%,
CAPE&Erica_sagittata,100,1.0621,0.5252,0.9217,86.8%,EN
TEA&Erica_caffrorum_var._caffrorum,97,2.7462,0.4863,1.8676,68.0%,
EUR1&Erica_azorica,98,2.0295,0.4502,1.5852,78.1%,
TEA&Erica_mauritiensis,98,1.9370,0.4382,1.8783,97.0%,
TRIM&Erica_trimera_ssp._elgonensis,96,2.1595,0.4377,1.8427,85.3%,
TEA&Erica_thomensis,98,0.4975,0.4214,0.3944,79.3%,CR
TEA&Erica_whyteana,95,1.9573,0.3727,1.7905,91.5%,
CAPE&Erica_platycalyx,100,0.7239,0.3693,0.7209,99.6%,EN
CAPE&Erica_pauciovulata,100,1.5021,0.3584,1.3918,92.7%,VU
ARB&Erica_lusitanica,99,6.6227,0.3291,6.4956,98.1%,LC
CAPE&Erica_vlokii,100,1.3418,0.3085,1.2818,95.5%,VU
ARB&Erica_arborea,100,6.9639,0.3071,6.8937,99.0%,LC
EUR1&Erica_mackayana,99,5.6729,0.2690,4.9078,86.5%,LC
TEA&Erica_rakotozafyana,94,1.1708,0.2620,1.1087,94.7%,
CAPE&Erica_cabernetea,99,0.2715,0.2536,0.1320,48.6%,CR
EUR1&Erica_vagans,99,4.6077,0.2489,4.1479,90.0%,LC
CAPE&Erica_hermani,100,0.5207,0.2429,0.5088,97.7%,EN
TEA&Erica_microdonta,95,1.3526,0.2370,1.2561,92.9%,
CAPE&Erica_juniperina,97,0.4950,0.2220,0.4901,99.0%,EN
TEA&Erica_galioides,95,1.0123,0.2097,0.7480,73.9%,
TEA&Erica_swaziensis,90,0.9038,0.2091,0.8315,92.0%,
CAPE&Erica_extrusa,100,0.2396,0.2034,0.1284,53.6%,CR
TEA&Erica_bojeri,94,1.0944,0.1950,0.8172,74.7%,
TEA&Erica_mannii_ssp._usambarensis,93,0.6995,0.1909,0.4954,70.8%,
TEA&Erica_natalensis,92,0.2104,0.1881,0.1724,81.9%,CR
CAPE&Erica_oligantha,100,0.3145,0.1584,0.2872,91.3%,EN
TEA&Erica_evansii,90,0.6587,0.1562,0.6308,95.8%,
CAPE&Erica_turgida,97,0.1680,0.1488,0.1640,97.6%,CR
TEA&Erica_mannii_ssp._mannii,92,0.6479,0.1447,0.4487,69.2%,
