taxa,region,treename,incl,RL.cat
Erica_abbottii,TEA,TEA&Erica_abbottii,1,VU
Erica_abelii,CAPE,CAPE&Erica_abelii,0,VU
Erica_abietina_ssp._abietina,CAPE,CAPE&Erica_abietina_ssp._abietina,1,LC
Erica_abietina_ssp._atrorosea,CAPE,CAPE&Erica_abietina_ssp._atrorosea,1,LC
Erica_abietina_ssp._constantiana,CAPE,CAPE&Erica_abietina_ssp._constantiana,1,LC
Erica_abietina_ssp._diabolis,CAPE,CAPE&Erica_abietina_ssp._diabolis,1,CR
Erica_accommodata_var._subviscidula,CAPE,CAPE&Erica_accommodata_var._subviscidula,0,LC
Erica_acuta_var._acuta,CAPE,CAPE&Erica_acuta_var._acuta,1,LC
Erica_adnata,CAPE,CAPE&Erica_adnata,1,LC
Erica_aestiva_var._aestiva,TEA,TEA&Erica_aestiva_var._aestiva,0,NE
Erica_affinis,CAPE,CAPE&Erica_affinis,0,NT
Erica_agglutinans,CAPE,CAPE&Erica_agglutinans,1,EN
Erica_albens_var._albens,CAPE,CAPE&Erica_albens_var._albens,1,LC
Erica_albens_var._longiflora,CAPE,CAPE&Erica_albens_var._longiflora,0,NE
Erica_albertyniae,CAPE,CAPE&Erica_albertyniae,1,VU
Erica_albospicata,TEA,TEA&Erica_albospicata,0,LC
Erica_alexandri_ssp._acockii,CAPE,CAPE&Erica_alexandri_ssp._acockii,0,EX
Erica_alexandri_ssp._alexandri,CAPE,CAPE&Erica_alexandri_ssp._alexandri,1,CR
Erica_alfredii,CAPE,CAPE&Erica_alfredii,1,VU
Erica_algida,TEA,TEA&Erica_algida,1,NE
Erica_alnea,CAPE,CAPE&Erica_alnea,0,LC
Erica_alopecurus_var._alopecurus,TEA,TEA&Erica_alopecurus_var._alopecurus,1,NE
Erica_altevivens,CAPE,CAPE&Erica_altevivens,0,LC
Erica_alticola,CAPE,CAPE&Erica_alticola,0,LC
Erica_altiphila,CAPE,CAPE&Erica_altiphila,0,LC
Erica_amalophylla,CAPE,CAPE&Erica_amalophylla,0,NE
Erica_amatolensis,CAPE,CAPE&Erica_amatolensis,0,LC
Erica_amicorum,CAPE,CAPE&Erica_amicorum,0,LC
Erica_amidae,CAPE,CAPE&Erica_amidae,1,VU
Erica_amoena,CAPE,CAPE&Erica_amoena,1,LC
Erica_amphigena,CAPE,CAPE&Erica_amphigena,0,VU
Erica_ampullacea_var._ampullacea,CAPE,CAPE&Erica_ampullacea_var._ampullacea,1,LC
Erica_ampullacea_var._obbata,CAPE,CAPE&Erica_ampullacea_var._obbata,0,NE
Erica_andevalensis,EUR1,EUR1&Erica_andevalensis,1,NT
Erica_andreaei,CAPE,CAPE&Erica_andreaei,0,LC
Erica_andringitrensis,TEA,TEA&Erica_andringitrensis,0,NE
Erica_aneimena,CAPE,CAPE&Erica_aneimena,1,VU
Erica_anemodes,CAPE,CAPE&Erica_anemodes,0,LC
Erica_anguliger,CAPE,CAPE&Erica_anguliger,1,LC
Erica_angulosa,CAPE,CAPE&Erica_angulosa,1,LC
Erica_annalis,CAPE,CAPE&Erica_annalis,0,LC
Erica_annectens,CAPE,CAPE&Erica_annectens,1,VU
